sid,start,end,type,value,lat,lng
m4,2020-4-10 08:07:30,2020-4-10 08:17:30,p2,744.70307,0.11194,-119.871711
m4,2020-4-10 08:07:50,2020-4-10 08:17:50,p2,412.1005151,0.11194,-119.871711
m4,2020-4-10 10:46:40,2020-4-10 10:56:40,p2,754.9449297,0.11194,-119.871711
m4,2020-4-10 11:17:10,2020-4-10 11:27:10,p2,498.2220571,0.11194,-119.871711
m4,2020-4-10 14:06:55,2020-4-10 14:16:55,p2,458.9697159,0.111937,-119.871687
m4,2020-4-10 16:17:25,2020-4-10 16:27:25,p2,711.163683,0.111937,-119.871687
m4,2020-4-10 17:14:15,2020-4-10 17:24:15,p2,637.0003553,0.111937,-119.871687
m4,2020-4-10 17:55:45,2020-4-10 18:05:45,p2,560.9088014,0.111937,-119.871687
m4,2020-4-10 21:50:25,2020-4-10 22:00:25,p2,280.4014981,0.111937,-119.871687
m5,2020-4-6 04:52:55,2020-4-6 05:02:55,p2,940.303771,0.19111,-119.86892
m5,2020-4-6 13:45:35,2020-4-6 13:55:35,p2,1003.994546,0.153157,-119.915785
m5,2020-4-6 20:06:20,2020-4-6 20:16:20,p2,697.1577583,0.165634,-119.866753
m5,2020-4-8 10:38:20,2020-4-8 10:48:20,p2,414.5249376,0.19098,-119.868881
m5,2020-4-8 15:22:15,2020-4-8 15:32:15,p2,456.4223411,0.153209,-119.915877
m5,2020-4-8 15:29:00,2020-4-8 15:39:00,p2,415.0361591,0.153209,-119.915877
m5,2020-4-8 16:51:30,2020-4-8 17:01:30,p2,953.4220662,0.191049,-119.868787
m5,2020-4-8 20:18:00,2020-4-8 20:28:00,p2,715.5536753,0.191049,-119.868787
m5,2020-4-8 21:41:50,2020-4-8 21:51:50,p2,673.4941945,0.191049,-119.868787
m5,2020-4-9 00:54:05,2020-4-9 01:04:05,p2,532.4289978,0.191049,-119.868787
m5,2020-4-9 06:57:40,2020-4-9 07:07:40,p2,1268.399824,0.19111,-119.864854
m5,2020-4-9 07:58:00,2020-4-9 08:08:00,p2,247.4347713,0.238251,-119.806042
m5,2020-4-10 06:01:20,2020-4-10 06:11:20,p2,557.6008101,0.238366,-119.806101
m5,2020-4-10 20:21:10,2020-4-10 20:31:10,p2,263.5310489,0.238204,-119.806235
m5,2020-4-10 21:49:45,2020-4-10 21:59:45,p2,389.1699758,0.18792,-119.857688
m6,2020-4-6 01:58:15,2020-4-6 02:08:15,p2,742.1067343,0.20155,-119.85529
m6,2020-4-6 23:04:45,2020-4-6 23:14:45,p2,548.554327,0.201428,-119.855339
m6,2020-4-7 00:24:20,2020-4-7 00:34:20,p2,738.1067354,0.201428,-119.855339
m6,2020-4-8 07:10:50,2020-4-8 07:20:50,p2,481.9719585,0.1363,-119.864776
m7,2020-4-6 12:38:25,2020-4-6 12:48:25,p2,641.1126762,0.18067,-119.8492
m7,2020-4-8 05:03:35,2020-4-8 05:13:35,p2,948.3092386,0.180638,-119.8493
m7,2020-4-8 12:53:00,2020-4-8 13:03:00,p2,672.4132005,0.152296,-119.910289
m7,2020-4-8 19:20:55,2020-4-8 19:30:55,p2,1142.139352,0.18062,-119.849333
m7,2020-4-8 20:49:00,2020-4-8 20:59:00,p2,657.4180592,0.18062,-119.849333
m7,2020-4-9 19:30:00,2020-4-9 19:40:00,p2,535.0181683,0.237941,-119.805995
m7,2020-4-9 19:30:05,2020-4-9 19:40:05,p2,242.9638853,0.237592,-119.805991
m7,2020-4-9 23:24:40,2020-4-9 23:34:40,p2,662.2902373,0.180727,-119.849057
m7,2020-4-10 01:36:30,2020-4-10 01:46:30,p2,530.9945553,0.180727,-119.849057
m7,2020-4-10 02:28:15,2020-4-10 02:38:15,p2,478.6246817,0.180727,-119.849057
m7,2020-4-10 03:17:15,2020-4-10 03:27:15,p2,514.467444,0.180727,-119.849057
m7,2020-4-10 04:26:35,2020-4-10 04:36:35,p2,374.1173871,0.180727,-119.849057
m7,2020-4-10 08:02:05,2020-4-10 08:12:05,p2,327.8623355,0.23835,-119.806087
m7,2020-4-10 21:08:25,2020-4-10 21:18:25,p2,821.7063207,0.205908,-119.816417
m8,2020-4-8 11:52:50,2020-4-8 12:02:50,p2,457.3949953,0.153223,-119.863078
m8,2020-4-8 16:46:40,2020-4-8 16:56:40,p2,859.9052744,0.174,-119.840638
m8,2020-4-8 17:02:30,2020-4-8 17:12:30,p2,336.0238721,0.194612,-119.83673
m8,2020-4-8 17:02:35,2020-4-8 17:12:35,p2,322.8301967,0.194741,-119.83673
m8,2020-4-8 17:02:40,2020-4-8 17:12:40,p2,229.4993482,0.194801,-119.836606
m8,2020-4-8 23:24:15,2020-4-8 23:34:15,p2,801.9471998,0.198122,-119.825845
m8,2020-4-9 05:25:00,2020-4-9 05:35:00,p2,676.6607808,0.198122,-119.825845
m8,2020-4-9 20:36:30,2020-4-9 20:46:30,p2,219.6094935,0.237622,-119.805993
m8,2020-4-9 21:09:10,2020-4-9 21:19:10,p2,368.7498237,0.198576,-119.824751
m8,2020-4-9 22:48:20,2020-4-9 22:58:20,p2,506.8708958,0.198209,-119.825645
m8,2020-4-10 00:26:25,2020-4-10 00:36:25,p2,553.0897359,0.198209,-119.825645
m8,2020-4-10 01:35:45,2020-4-10 01:45:45,p2,465.3408996,0.198209,-119.825645
m8,2020-4-10 03:28:25,2020-4-10 03:38:25,p2,459.9139165,0.198209,-119.825645
m8,2020-4-10 05:58:05,2020-4-10 06:08:05,p2,346.7211176,0.198209,-119.825645
m8,2020-4-10 06:46:25,2020-4-10 06:56:25,p2,205.6661352,0.238262,-119.806292
m8,2020-4-10 06:46:30,2020-4-10 06:56:30,p2,338.2018722,0.238328,-119.806122
m8,2020-4-10 21:10:25,2020-4-10 21:20:25,p2,518.6642908,0.20213,-119.819191
m8,2020-4-10 21:12:10,2020-4-10 21:22:10,p2,626.2051325,0.20213,-119.820636
m9,2020-4-7 17:24:15,2020-4-7 17:34:15,p2,398.9144914,0.180852,-119.876132
m9,2020-4-7 18:02:00,2020-4-7 18:12:00,p2,519.6588939,0.180852,-119.876132
m9,2020-4-8 13:17:05,2020-4-8 13:27:05,p2,623.2159768,0.157773,-119.787263
m9,2020-4-8 13:17:10,2020-4-8 13:27:10,p2,560.9931184,0.157593,-119.78719
m9,2020-4-8 19:34:25,2020-4-8 19:44:25,p2,651.6395712,0.180817,-119.876115
m9,2020-4-9 07:45:35,2020-4-9 07:55:35,p2,250.4351463,0.238266,-119.806036
m9,2020-4-10 08:12:35,2020-4-10 08:22:35,p2,558.3088677,0.238372,-119.805874
m9,2020-4-10 20:30:40,2020-4-10 20:40:40,p2,281.299585,0.2382,-119.806225
m9,2020-4-10 21:56:25,2020-4-10 22:06:25,p2,729.7308924,0.18792,-119.854424
m9,2020-4-10 22:18:15,2020-4-10 22:28:15,p2,492.0296928,0.18705,-119.87139
m10,2020-4-6 05:42:35,2020-4-6 05:52:35,p2,513.9860424,0.21982,-119.87066
m10,2020-4-6 07:00:15,2020-4-6 07:10:15,p2,648.7320754,0.21982,-119.87066
m10,2020-4-6 16:09:40,2020-4-6 16:19:40,p2,503.3508265,0.219694,-119.870624
m10,2020-4-7 11:23:25,2020-4-7 11:33:25,p2,904.6771021,0.147416,-119.844884
m10,2020-4-8 11:05:15,2020-4-8 11:15:15,p2,688.7617818,0.21025,-119.81498
m10,2020-4-8 17:55:05,2020-4-8 18:05:05,p2,2125.21513,0.21025,-119.81498
m10,2020-4-8 19:29:10,2020-4-8 19:39:10,p2,2320.767021,0.21025,-119.81498
m10,2020-4-9 20:20:40,2020-4-9 20:30:40,p2,504.8972865,0.238222,-119.806231
m10,2020-4-9 22:55:50,2020-4-9 23:05:50,p2,490.411026,0.211989,-119.87327
m10,2020-4-10 00:47:55,2020-4-10 00:57:55,p2,758.4578773,0.136041,-119.911149
m10,2020-4-10 01:06:10,2020-4-10 01:16:10,p2,777.6544301,0.136041,-119.911149
m10,2020-4-10 03:35:40,2020-4-10 03:45:40,p2,685.9837698,0.136041,-119.911149
m10,2020-4-10 05:47:30,2020-4-10 05:57:30,p2,501.1047406,0.136041,-119.911149
m11,2020-4-6 01:40:05,2020-4-6 01:50:05,p2,711.3613066,0.20184,-119.8869
m11,2020-4-6 02:57:55,2020-4-6 03:07:55,p2,1230.172339,0.20184,-119.8869
m11,2020-4-6 20:52:05,2020-4-6 21:02:05,p2,1095.95649,0.201783,-119.887022
m11,2020-4-7 04:49:55,2020-4-7 04:59:55,p2,1263.78078,0.201783,-119.887022
m11,2020-4-7 07:44:55,2020-4-7 07:54:55,p2,506.7803858,0.147162,-119.883476
m11,2020-4-7 14:29:20,2020-4-7 14:39:20,p2,437.4721706,0.147162,-119.883476
m11,2020-4-7 14:56:25,2020-4-7 15:06:25,p2,769.7525351,0.147162,-119.883476
m11,2020-4-8 00:52:40,2020-4-8 01:02:40,p2,995.3705622,0.201728,-119.886937
m11,2020-4-8 02:55:45,2020-4-8 03:05:45,p2,634.294185,0.201728,-119.886937
m11,2020-4-8 11:15:20,2020-4-8 11:25:20,p2,817.8016765,0.147117,-119.883442
m11,2020-4-8 15:31:40,2020-4-8 15:41:40,p2,1437.430593,0.147117,-119.883442
m11,2020-4-9 08:52:00,2020-4-9 09:02:00,p2,384.2578912,0.238332,-119.80612
m11,2020-4-9 20:51:15,2020-4-9 21:01:15,p2,552.7158885,0.238204,-119.806228
m11,2020-4-9 20:51:20,2020-4-9 21:01:20,p2,341.8825709,0.237919,-119.806265
m11,2020-4-10 00:12:30,2020-4-10 00:22:30,p2,338.6951929,0.201701,-119.886957
m11,2020-4-10 06:25:20,2020-4-10 06:35:20,p2,383.1937504,0.201701,-119.886957
m11,2020-4-10 09:20:35,2020-4-10 09:30:35,p2,257.6656459,0.238265,-119.806289
m11,2020-4-10 09:20:40,2020-4-10 09:30:40,p2,399.1433764,0.238332,-119.806116
m11,2020-4-10 20:13:55,2020-4-10 20:23:55,p2,261.0185209,0.238214,-119.806234
m11,2020-4-10 20:19:25,2020-4-10 20:29:25,p2,708.3304909,0.223726,-119.810868
m11,2020-4-10 20:42:50,2020-4-10 20:52:50,p2,458.1067419,0.201186,-119.822142
m12,2020-4-9 02:38:25,2020-4-9 02:48:25,p2,57345.2003,0.190488,-119.841789
m13,2020-4-6 13:43:05,2020-4-6 13:53:05,p2,884.0077854,0.140118,-119.793395
m13,2020-4-6 17:02:05,2020-4-6 17:12:05,p2,850.4804224,0.145178,-119.841613
m13,2020-4-7 14:25:45,2020-4-7 14:35:45,p2,1004.348464,0.115219,-119.76481
m13,2020-4-7 17:10:40,2020-4-7 17:20:40,p2,1023.81056,0.145162,-119.841627
m13,2020-4-8 10:42:50,2020-4-8 10:52:50,p2,697.2621834,0.145258,-119.841759
m13,2020-4-8 12:23:50,2020-4-8 12:33:50,p2,721.7944461,0.136746,-119.779312
m13,2020-4-9 00:56:00,2020-4-9 01:06:00,p2,1012.281655,0.145349,-119.84179
m13,2020-4-9 07:21:55,2020-4-9 07:31:55,p2,684.4668975,0.145349,-119.84179
m13,2020-4-9 10:38:05,2020-4-9 10:48:05,p2,1008.366481,0.15283,-119.862123
m13,2020-4-9 15:04:25,2020-4-9 15:14:25,p2,587.6246188,0.158391,-119.789631
m13,2020-4-9 15:52:15,2020-4-9 16:02:15,p2,785.4466353,0.158391,-119.789631
m13,2020-4-9 17:35:10,2020-4-9 17:45:10,p2,484.4109681,0.158391,-119.789631
m13,2020-4-9 17:49:00,2020-4-9 17:59:00,p2,837.371776,0.158391,-119.789631
m13,2020-4-9 18:35:30,2020-4-9 18:45:30,p2,601.4153511,0.158391,-119.789631
m13,2020-4-9 19:14:00,2020-4-9 19:24:00,p2,667.2118712,0.158391,-119.789631
m13,2020-4-9 19:27:40,2020-4-9 19:37:40,p2,736.949655,0.158391,-119.789631
m13,2020-4-9 19:28:15,2020-4-9 19:38:15,p2,677.0292232,0.158391,-119.789631
m13,2020-4-9 19:52:55,2020-4-9 20:02:55,p2,674.1563194,0.158391,-119.789631
m13,2020-4-9 20:15:45,2020-4-9 20:25:45,p2,493.0634539,0.158391,-119.789631
m13,2020-4-9 21:37:00,2020-4-9 21:47:00,p2,632.7346851,0.145431,-119.841708
m13,2020-4-9 21:46:15,2020-4-9 21:56:15,p2,864.8658256,0.145431,-119.841708
m13,2020-4-9 22:18:30,2020-4-9 22:28:30,p2,382.5701233,0.145431,-119.841708
m13,2020-4-10 05:39:00,2020-4-10 05:49:00,p2,464.3119293,0.145431,-119.841708
m13,2020-4-10 06:52:25,2020-4-10 07:02:25,p2,622.0499286,0.145431,-119.841708
m13,2020-4-10 07:26:15,2020-4-10 07:36:15,p2,700.8125125,0.16844,-119.809925
m13,2020-4-10 07:47:35,2020-4-10 07:57:35,p2,966.4610295,0.16844,-119.809925
m13,2020-4-10 08:54:35,2020-4-10 09:04:35,p2,881.2755641,0.16844,-119.809925
m13,2020-4-10 09:36:35,2020-4-10 09:46:35,p2,442.1850665,0.16844,-119.809925
m13,2020-4-10 10:19:35,2020-4-10 10:29:35,p2,670.9312221,0.16844,-119.809925
m13,2020-4-10 12:18:15,2020-4-10 12:28:15,p2,733.4474348,0.16844,-119.809925
m13,2020-4-10 15:08:15,2020-4-10 15:18:15,p2,407.4048447,0.16844,-119.809925
m13,2020-4-10 19:07:20,2020-4-10 19:17:20,p2,556.8319308,0.16844,-119.809925
m14,2020-4-6 18:48:50,2020-4-6 18:58:50,p2,717.9545696,0.138877,-119.841577
m14,2020-4-7 00:38:30,2020-4-7 00:48:30,p2,418.8109204,0.138877,-119.841577
m14,2020-4-7 18:24:00,2020-4-7 18:34:00,p2,920.0854331,0.138802,-119.841615
m14,2020-4-8 22:00:55,2020-4-8 22:10:55,p2,967.2674722,0.08352,-119.790507
m14,2020-4-9 00:12:50,2020-4-9 00:22:50,p2,261.88146,0.138848,-119.841536
m14,2020-4-9 04:29:55,2020-4-9 04:39:55,p2,674.5562428,0.138848,-119.841536
m14,2020-4-9 08:25:15,2020-4-9 08:35:15,p2,726.8876196,0.138848,-119.841536
m14,2020-4-9 09:57:15,2020-4-9 10:07:15,p2,301.5137726,0.238055,-119.806097
m14,2020-4-9 09:57:20,2020-4-9 10:07:20,p2,467.9678597,0.238281,-119.806023
m14,2020-4-10 07:46:30,2020-4-10 07:56:30,p2,574.0606913,0.238362,-119.806092
m14,2020-4-10 21:21:25,2020-4-10 21:31:25,p2,363.36881,0.13601,-119.831647
m14,2020-4-10 22:10:20,2020-4-10 22:20:20,p2,392.00972,0.138788,-119.841615
m15,2020-4-6 13:49:35,2020-4-6 13:59:35,p2,380.1657146,0.106168,-119.918691
m15,2020-4-6 19:32:15,2020-4-6 19:42:15,p2,609.9814573,0.140016,-119.830227
m15,2020-4-6 21:36:50,2020-4-6 21:46:50,p2,1283.994026,0.140016,-119.830227
m15,2020-4-7 00:40:30,2020-4-7 00:50:30,p2,607.4546788,0.140016,-119.830227
m15,2020-4-8 03:37:25,2020-4-8 03:47:25,p2,650.6495323,0.140044,-119.830255
m15,2020-4-8 10:10:05,2020-4-8 10:20:05,p2,500.255586,0.106233,-119.918769
m15,2020-4-8 18:58:20,2020-4-8 19:08:20,p2,977.1102539,0.126859,-119.82745
m15,2020-4-8 23:17:05,2020-4-8 23:27:05,p2,685.3687139,0.139928,-119.830299
m15,2020-4-9 07:50:35,2020-4-9 08:00:35,p2,646.1112364,0.139931,-119.830289
m15,2020-4-9 10:35:15,2020-4-9 10:45:15,p2,719.2691046,0.139931,-119.830289
m15,2020-4-9 16:06:05,2020-4-9 16:16:05,p2,713.9343231,0.139931,-119.830289
m15,2020-4-9 21:23:30,2020-4-9 21:33:30,p2,557.5862272,0.139931,-119.830289
m15,2020-4-9 23:54:05,2020-4-10 00:04:05,p2,552.7023983,0.139931,-119.830289
m15,2020-4-10 05:06:30,2020-4-10 05:16:30,p2,448.3136084,0.140005,-119.830208
m15,2020-4-10 07:17:15,2020-4-10 07:27:15,p2,569.7233565,0.140005,-119.830208
m15,2020-4-10 07:22:05,2020-4-10 07:32:05,p2,535.0105126,0.140005,-119.830208
m15,2020-4-10 07:48:05,2020-4-10 07:58:05,p2,485.2257345,0.140005,-119.830208
m15,2020-4-10 12:43:50,2020-4-10 12:53:50,p2,490.6170032,0.140005,-119.830208
m15,2020-4-10 14:18:35,2020-4-10 14:28:35,p2,723.0999565,0.140005,-119.830208
m15,2020-4-10 17:37:40,2020-4-10 17:47:40,p2,690.0162953,0.140005,-119.830208
m15,2020-4-10 19:40:20,2020-4-10 19:50:20,p2,658.3319115,0.140005,-119.830208
m15,2020-4-10 20:07:30,2020-4-10 20:17:30,p2,622.3791285,0.140005,-119.830208
m16,2020-4-6 07:22:35,2020-4-6 07:32:35,p2,1259.888405,0.15631,-119.919831
m16,2020-4-6 07:28:45,2020-4-6 07:38:45,p2,740.1664416,0.156556,-119.920111
m16,2020-4-6 15:36:50,2020-4-6 15:46:50,p2,317.933542,0.156556,-119.920111
m16,2020-4-6 16:18:05,2020-4-6 16:28:05,p2,924.1624348,0.156556,-119.920111
m16,2020-4-6 23:03:55,2020-4-6 23:13:55,p2,814.1572855,0.095456,-119.900362
m16,2020-4-9 01:27:05,2020-4-9 01:37:05,p2,675.4989112,0.095457,-119.900368
